iter	Passed	Remaining
0	3	699
1	7	718
2	8	595
3	11	594
4	15	615
5	18	615
6	21	614
7	25	616
8	28	618
9	32	622
10	35	620
11	38	620
12	43	634
13	47	648
14	52	658
15	55	652
16	58	646
17	63	651
18	65	642
19	69	634
20	71	627
21	75	622
22	78	615
23	79	599
24	81	584
25	84	579
26	87	574
27	90	570
28	92	556
29	94	550
30	97	546
31	100	541
32	102	530
33	105	525
34	108	521
35	110	517
36	113	513
37	116	509
38	118	503
39	121	498
40	124	496
41	127	492
42	130	489
43	133	485
44	136	481
45	139	478
46	141	473
47	144	469
48	147	465
49	150	462
50	153	459
51	155	455
52	158	452
53	161	449
54	164	444
55	167	442
56	170	439
57	173	437
58	177	435
59	180	434
60	184	432
61	187	429
62	190	426
63	193	424
64	196	420
65	199	417
66	201	412
67	204	409
68	207	406
69	210	403
70	213	400
71	216	397
72	219	393
73	222	390
74	225	387
75	228	384
76	230	380
77	234	379
78	237	376
79	240	372
80	243	369
81	246	366
82	249	363
83	252	360
84	254	356
85	257	353
86	260	350
87	263	347
88	266	344
89	269	340
90	271	337
91	275	334
92	277	331
93	280	328
94	283	325
95	285	321
96	288	318
97	291	315
98	294	312
99	297	309
100	300	306
101	303	303
102	306	300
103	309	297
104	312	294
105	315	291
106	317	288
107	320	285
108	323	281
109	326	278
110	329	276
111	333	273
112	337	271
113	340	268
114	343	265
115	347	263
116	348	259
117	354	258
118	358	255
119	361	253
120	365	250
121	368	247
122	371	244
123	375	242
124	379	239
125	384	237
126	387	235
127	390	231
128	393	228
129	396	225
130	399	222
131	401	219
132	404	216
133	408	213
134	410	210
135	413	206
136	416	203
137	419	200
138	422	197
139	425	194
140	428	191
141	431	188
142	434	185
143	437	182
144	440	179
145	443	176
146	446	173
147	449	169
148	451	166
149	454	163
150	457	160
151	460	157
152	463	154
153	466	151
154	469	148
155	471	145
156	474	142
157	477	139
158	480	136
159	483	132
160	486	129
161	489	126
162	492	123
163	495	120
164	498	117
165	502	114
166	505	111
167	508	108
168	511	105
169	515	103
170	518	100
171	522	97
172	526	94
173	529	91
174	532	88
175	535	85
176	536	81
177	539	78
178	542	75
179	545	72
180	548	69
181	551	66
182	554	63
183	557	60
184	560	57
185	563	54
186	566	51
187	569	48
188	572	45
189	575	42
190	579	39
191	582	36
192	585	33
193	589	30
194	592	27
195	595	24
196	597	21
197	600	18
198	604	15
199	607	12
200	610	9
201	613	6
202	615	3
203	619	0
